,customerid,churn,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines
3825,5233-AOZUF,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.95,2149.05,Female,0,1,0,29,1,Yes
3826,5233-GEEAX,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,29.4,221.9,Male,1,0,0,8,0,No phone service
3827,5235-XATIX,no info,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,89.4,2001.5,Male,0,0,1,22,1,No
3828,5236-PERKL,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),112.95,6465,Female,0,0,0,57,1,Yes
3829,5236-XMZJY,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),59.65,2536.55,Female,0,0,0,42,1,No
3830,5240-CAOYT,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Bank transfer (automatic),87.55,4884.85,Female,0,0,0,57,1,Yes
3831,5240-IJOQT,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.7,74.7,Male,1,0,0,1,1,Yes
3832,5242-UOWHD,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.35,929.2,Male,0,1,1,45,1,No
3833,5243-NIEIT,no info,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.15,1139.2,Male,0,1,0,14,1,Yes
3834,5243-SAOTC,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),79.85,4308.25,Male,0,0,0,54,1,Yes
3835,5244-IRFIH,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.5,3105.55,Male,1,1,0,33,1,Yes
3836,5245-VDBUR,No,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,35.45,1958.95,Female,0,1,0,52,0,No phone service
3837,5248-KWLAR,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,90.35,6325.25,Male,0,1,1,71,1,Yes
3838,5248-RPYWW,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),90.15,6716.45,Female,1,1,1,72,1,Yes
3839,5248-YGIJN,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.25,6369.45,Male,0,1,0,72,1,Yes
3840,5249-QYHEX,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,24.8,1024.7,Female,0,1,1,40,1,Yes
3841,5256-SKJGO,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,1,Electronic check,54.6,3423.5,Female,0,1,1,64,0,No phone service
3842,5260-UMPWX,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),20.25,493.95,Female,0,1,1,26,1,No
3843,5261-QSHQM,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,24.45,86.6,Female,0,0,0,4,0,No phone service
3844,5264-IWHMU,no info,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,49.05,49.05,Male,0,0,0,1,1,No
3845,5266-PFRQK,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),20.85,1071.6,Male,0,1,1,52,1,No
3846,5268-DSMNQ,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,1,Credit card (automatic),97.95,5936.55,Female,1,1,0,62,1,Yes
3847,5269-NRGDP,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,0,Electronic check,73.15,3088.25,Male,0,1,1,42,1,No
3848,5271-DBYSJ,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Credit card (automatic),79.15,827.7,Male,1,0,0,11,1,No
3849,5271-YNWVR,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,113.15,7856,Male,0,1,1,68,1,Yes
3850,5274-XHAKY,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),94.3,3893.6,Female,0,1,1,41,1,Yes
3851,5275-PMFUT,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),64.8,4719.75,Male,0,1,1,72,0,No phone service
3852,5275-SQEIZ,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Mailed check,80.85,80.85,Male,0,0,0,1,1,No
3853,5276-KQWHG,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.6,131.65,Female,1,0,0,2,1,No
3854,5277-ZLOOR,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,85.55,187.45,Female,1,0,0,2,1,Yes
3855,5278-PNYOX,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),100.65,4917.75,Female,0,0,0,49,1,No
3856,5281-BUZGT,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Electronic check,90.85,3186.7,Male,1,0,0,36,1,Yes
3857,5285-MVEHD,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),105.6,6068.65,Female,0,1,0,56,1,No
3858,5285-TWCNP,no info,DSL,No,Yes,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),75.5,5212.65,Female,1,0,0,70,1,Yes
3859,5286-YHCVC,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),104.8,7470.1,Male,0,1,0,72,1,Yes
3860,5287-QWLKY,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),105.1,7548.1,Male,1,1,1,71,1,Yes
3861,5288-AHOUP,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,78.5,874.2,Male,1,0,0,11,1,No
3862,5293-WXJAK,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),104.05,1133.65,Female,1,1,0,11,1,Yes
3863,5294-CDGWY,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,0,Electronic check,59.3,3014.65,Male,0,1,1,51,0,No phone service
3864,5294-DMSFH,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),87.8,2621.75,Female,0,1,1,29,1,No
3865,5294-IMHHT,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,0,Bank transfer (automatic),97.75,5043.2,Male,0,1,0,53,1,Yes
3866,5295-PCJOO,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,49.4,184.4,Male,0,0,1,4,1,No
3867,5296-BFCYD,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,20.1,936.85,Male,0,1,1,46,1,No
3868,5296-PSYVW,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Electronic check,24.55,1750.7,Female,0,1,0,72,1,Yes
3869,5297-MDOIR,No,Fiber optic,Yes,No,Yes,No,No,No,One year,1,Credit card (automatic),81.15,5224.5,Female,0,1,0,63,1,No
3870,5298-GSTLM,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Bank transfer (automatic),101.4,6176.6,Female,1,0,0,60,1,Yes
3871,5299-RULOA,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.25,1064.65,Female,0,1,1,10,1,Yes
3872,5299-SJCZT,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),101.55,298.35,Male,0,0,0,3,1,Yes
3873,5301-GAUUY,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),80.35,2596.15,Male,0,0,0,32,1,Yes
3874,5302-BDJNT,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,0,Electronic check,95.5,3418.2,Male,0,0,0,35,1,Yes
3875,5304-EFJLP,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),111.65,8022.85,Male,1,1,0,72,1,Yes
3876,5306-BVTKJ,No,DSL,No,Yes,Yes,No,No,No,One year,1,Credit card (automatic),55.8,2651.2,Male,0,1,1,48,1,No
3877,5307-DZCVC,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),85.95,2628.6,Female,1,1,0,32,1,Yes
3878,5307-UVGNB,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),48.7,2495.2,Female,0,1,1,53,0,No phone service
3879,5309-TAIKL,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,0,Bank transfer (automatic),62.8,418.3,Female,0,0,0,7,1,No
3880,5310-NOOVA,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Electronic check,19.95,907.05,Male,0,0,0,46,1,No
3881,5311-IHLEI,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Bank transfer (automatic),50.95,605.75,Male,0,0,0,12,0,No phone service
3882,5312-IRCFR,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,1,Electronic check,92.85,5980.75,Female,0,1,1,64,1,Yes
3883,5312-TSZVC,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.65,270.6,Female,0,0,1,15,1,No
3884,5312-UXESG,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),98.05,3990.6,Female,0,0,0,41,1,Yes
3885,5313-FPXWG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),24.6,1266.4,Male,0,0,0,51,1,Yes
3886,5315-CKEQK,No,DSL,No,No,No,No,No,No,One year,1,Electronic check,51.0,1381.8,Male,1,1,1,28,1,Yes
3887,5317-FLPJF,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),61.35,4193.4,Female,0,0,0,66,0,No phone service
3888,5318-IXUZF,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),87.15,183.75,Female,0,0,0,2,1,No
3889,5318-YKDPV,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),79.15,3566.6,Male,0,1,1,43,1,No
3890,5320-BRKGK,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,0,Mailed check,75.8,4415.75,Female,0,1,1,58,1,Yes
3891,5321-NTRKC,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),79.85,5234.95,Male,0,1,1,66,1,Yes
3892,5322-TEUJK,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),114.6,8100.25,Female,0,1,1,71,1,Yes
3893,5322-ZSMZY,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.75,755.6,Male,0,1,1,31,1,Yes
3894,5324-KTGCG,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.85,1539.75,Male,0,1,0,71,1,No
3895,5325-UWTWJ,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),90.55,2929.75,Male,0,1,0,31,1,Yes
3896,5327-CNLUQ,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),96.9,4473.45,Male,0,1,0,48,1,Yes
3897,5327-XOKKY,No,DSL,No,No,Yes,No,Yes,Yes,Two year,1,Credit card (automatic),73.45,5329,Male,1,1,0,72,1,Yes
3898,5329-KRDTM,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,0,Credit card (automatic),77.35,5396.25,Male,1,1,0,72,1,Yes
3899,5331-RGMTT,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.05,5295.7,Male,1,1,0,54,1,Yes
3900,5332-UJJBL,no info,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.0,73.45,Male,0,0,0,4,1,No
3901,5334-AFQJB,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.1,1789.9,Male,1,0,0,72,1,Yes
3902,5334-JLAXU,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),94.1,5475.9,Female,0,1,0,60,1,Yes
3903,5336-UFNZP,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,107.45,7047.5,Female,1,1,1,65,1,Yes
3904,5337-IIWKZ,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,1,Electronic check,44.85,1442.6,Male,0,1,1,34,0,No phone service
3905,5338-YHWYT,No,DSL,Yes,Yes,No,Yes,No,No,Two year,0,Credit card (automatic),61.45,2302.35,Male,0,0,1,37,1,No
3906,5339-PXDVH,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,0,Electronic check,90.65,367.95,Male,0,0,0,4,1,Yes
3907,5339-TJFEK,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,105.5,6487.2,Male,0,1,1,62,1,Yes
3908,5343-SGUBI,No,Fiber optic,No,Yes,No,No,No,No,One year,1,Mailed check,80.2,4297.6,Female,0,0,0,52,1,Yes
3909,5345-BMKWB,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.25,158.35,Male,0,1,0,8,1,No
3910,5346-BZCHP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.4,1346.2,Female,0,1,1,69,1,No
3911,5348-CAGXB,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,89.55,1021.75,Male,0,0,0,12,1,Yes
3912,5349-AZPEW,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,25.05,125.5,Female,0,1,1,5,0,No phone service
3913,5349-IECLD,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,94.95,178.1,Male,0,0,0,2,1,No
3914,5351-QESIO,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,24.2,24.2,Male,0,0,1,1,0,No phone service
3915,5353-WILCI,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Electronic check,56.05,1522.65,Female,0,0,0,28,1,No
3916,5356-CSVSQ,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,0,Electronic check,64.6,174.2,Female,0,0,0,3,1,Yes
3917,5356-KZCKT,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),24.45,1513.6,Male,0,0,0,58,1,Yes
3918,5356-RHIPP,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.2,20.2,Male,0,0,0,1,1,No
3919,5357-TZHPP,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Credit card (automatic),84.4,732.5,Male,1,0,0,9,1,Yes
3920,5360-LJCNJ,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),105.15,7555,Female,0,1,0,71,1,Yes
3921,5360-XGYAZ,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),65.65,4664.5,Male,0,1,1,72,0,No phone service
3922,5364-EVNIB,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,79.8,973.45,Male,0,0,0,13,1,No
3923,5364-XYIRR,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.65,4812.75,Male,0,1,0,51,1,Yes
3924,5365-FJKGQ,no info,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,70.95,1767.35,Male,0,0,0,25,1,No
3925,5365-LLFYV,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,45.85,105.6,Female,0,0,0,2,1,No
3926,5366-IJEQJ,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,88.7,1761.45,Male,0,0,0,20,1,Yes
3927,5366-OBVMR,No,DSL,No,No,No,Yes,No,No,Month-to-month,1,Mailed check,50.3,908.75,Female,0,1,0,18,1,No
3928,5370-IIVVL,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),104.5,3778,Male,0,0,0,37,1,Yes
3929,5371-VYLSX,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,1,Electronic check,83.4,4113.7,Female,1,0,0,50,1,Yes
3930,5372-FBKBN,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.75,452.2,Female,0,0,1,21,1,No
3931,5373-SFODM,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Credit card (automatic),85.25,3132.75,Male,1,1,0,36,1,Yes
3932,5375-XLDOF,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.35,7665.8,Male,0,1,1,69,1,Yes
3933,5376-DEQCP,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.6,70.6,Female,0,0,0,1,1,No
3934,5376-PCKNB,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),104.45,7459,Male,0,1,1,72,1,Yes
3935,5377-NDTOU,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,91.05,6293.75,Female,0,1,1,71,1,Yes
3936,5378-IKEEG,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,35.75,35.75,Female,0,0,0,1,0,No phone service
3937,5380-AFSSK,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,93.9,486.85,Female,0,0,0,5,1,Yes
3938,5380-WJKOV,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,Male,0,0,0,34,1,Yes
3939,5380-XPJNZ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.05,678.2,Female,0,0,0,38,1,No
3940,5382-SOYZL,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.1,2162.6,Male,0,0,0,22,1,Yes
3941,5382-TEMLV,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),50.9,2298.55,Male,0,0,0,45,1,No
3942,5383-MMTWC,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.0,613.4,Female,1,1,0,8,1,Yes
3943,5384-ZTTWP,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.8,272.95,Female,0,1,1,15,1,No
3944,5385-SUIRI,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,104.2,5568.35,Male,1,1,0,52,1,Yes
3945,5386-THSLQ,No,DSL,No,Yes,Yes,No,Yes,No,One year,0,Bank transfer (automatic),45.55,3027.25,Female,1,1,0,66,0,No phone service
3946,5387-ASZNZ,No,DSL,Yes,Yes,No,Yes,No,No,One year,1,Credit card (automatic),63.85,4174.35,Female,1,0,0,66,1,Yes
3947,5389-FFVKB,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Credit card (automatic),80.3,2483.05,Male,1,1,0,32,1,No
3948,5392-AKEMH,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.05,523.1,Female,0,0,0,12,1,No
3949,5393-HJZSM,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,0,Bank transfer (automatic),76.3,2404.15,Female,0,1,1,32,1,No
3950,5393-RXQSZ,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,79.6,79.6,Male,0,0,0,1,1,No
3951,5394-MEITZ,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),80.6,4946.7,Female,0,1,1,60,1,No
3952,5394-SVGJV,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,0,Bank transfer (automatic),98.8,3475.55,Male,0,0,0,37,1,Yes
3953,5396-IZEPB,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),19.7,180.7,Male,0,0,0,9,1,No
3954,5397-NSKQG,No,DSL,Yes,No,No,No,Yes,Yes,Two year,0,Credit card (automatic),50.9,3281.65,Male,0,1,1,67,0,No phone service
3955,5397-TUPSH,No,Fiber optic,No,No,No,No,No,No,One year,1,Bank transfer (automatic),70.95,4555.2,Male,1,1,0,65,1,No
3956,5399-ZIMKF,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,74.65,383.65,Male,0,0,0,5,1,No
3957,5402-HTOTQ,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,55.3,875.35,Male,0,0,0,16,1,Yes
3958,5404-GGUKR,No,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,51.35,262.3,Male,0,0,0,5,1,No
3959,5405-ZMYXQ,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),74.6,548.9,Female,0,0,0,8,1,Yes
3960,5406-KGRMX,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Electronic check,24.55,1719.15,Female,0,0,0,71,1,Yes
3961,5414-OFQCB,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,1,Credit card (automatic),90.45,5229.8,Male,0,0,0,57,1,Yes
3962,5419-CONWX,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.8,442.85,Female,1,0,0,4,1,No
3963,5419-JKZNQ,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Mailed check,77.9,2351.45,Male,1,1,0,30,1,Yes
3964,5419-JPRRN,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,101.45,101.45,Male,0,0,0,1,1,Yes
3965,5419-KLXBN,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.15,2257.75,Female,0,1,1,25,1,No
3966,5423-BHIXO,No,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,54.2,1739.6,Female,0,0,0,32,1,Yes
3967,5424-RLQLC,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,1,Mailed check,59.65,638.95,Male,0,0,0,10,1,No
3968,5425-GQTTT,no info,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.0,1664.3,Male,0,1,1,68,1,Yes
3969,5429-LWCMV,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,89.15,1057.55,Female,0,0,0,12,1,Yes
3970,5433-KYGHE,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,1,Mailed check,86.0,1164.05,Female,0,0,1,14,1,Yes
3971,5438-QMDDL,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,1,Mailed check,59.8,1130.85,Female,0,1,0,19,1,No
3972,5439-WIKXB,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.55,3851.45,Male,1,1,0,41,1,No
3973,5440-FLBQG,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),108.4,7318.2,Male,1,1,0,69,1,Yes
3974,5440-VHLUL,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,1,Bank transfer (automatic),105.2,7386.05,Male,0,0,0,69,1,Yes
3975,5442-BHQNG,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Electronic check,70.35,139.25,Female,0,0,0,2,1,No
3976,5442-BXVND,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),24.25,838.5,Female,0,1,1,33,1,Yes
3977,5442-PPTJY,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.7,258.35,Male,0,1,1,12,1,No
3978,5442-UTCVD,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,0,Electronic check,91.85,257.05,Male,0,0,1,3,1,Yes
3979,5442-XSDCW,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),79.5,868.5,Male,0,1,1,11,1,No
3980,5443-SCMKX,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,1,Electronic check,94.3,5610.15,Female,0,1,0,58,1,Yes
3981,5445-GLVOT,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,49.8,1049.05,Female,0,0,0,22,1,No
3982,5445-PZWGX,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,0,Electronic check,102.0,6529.25,Male,0,0,0,62,1,Yes
3983,5445-UTODQ,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,81.1,576.65,Female,0,1,0,7,1,No
3984,5446-DKWYW,No,DSL,No,No,Yes,No,Yes,No,One year,1,Electronic check,65.2,3965.05,Female,1,1,1,61,1,Yes
3985,5447-VYTKW,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,0,Mailed check,53.45,1461.45,Male,0,0,0,27,1,No
3986,5447-WZAFP,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Mailed check,100.3,5200.8,Female,0,0,0,53,1,No
3987,5448-VWNAM,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Mailed check,75.9,1375.6,Female,0,0,1,19,1,Yes
3988,5449-FIBXJ,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,103.3,2012.7,Male,0,1,1,19,1,Yes
3989,5451-MHQOF,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,24.45,1431.65,Male,0,1,1,56,1,Yes
3990,5451-YHYPW,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),115.75,8443.7,Female,1,1,0,72,1,Yes
3991,5453-AXEPF,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),80.5,1336.9,Male,0,1,0,17,1,Yes
3992,5453-YBTWV,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),101.1,6994.8,Male,0,1,1,70,1,No
3993,5456-ITGIC,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),64.45,4641.1,Male,1,1,0,72,0,No phone service
3994,5457-COLHT,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),80.65,5542.55,Male,0,1,1,69,1,No
3995,5458-CQJTA,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),74.8,4820.15,Male,0,1,1,65,1,No
3996,5461-QKNTN,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,94.3,3953.15,Male,1,1,0,43,1,Yes
3997,5465-BUBFA,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.3,772.4,Female,0,1,1,41,1,No
3998,5468-BPMMO,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.6,851.2,Male,0,1,0,46,1,No
